player_id,gw,xp,generated_at,source_version,prediction_tag
1,1,4.449988842010498,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
1,2,3.575626850128174,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
1,3,3.836812973022461,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
1,4,4.100070476531982,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
1,5,3.7819809913635254,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
1,6,4.368077754974365,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
1,7,4.008296012878418,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
1,8,4.386618137359619,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
2,1,0.9864137172698975,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
2,2,0.9685268998146057,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
2,3,0.9748679399490356,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
2,4,0.9800799489021301,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
2,5,0.9735077619552612,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
2,6,0.9850097894668579,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
2,7,0.97825688123703,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
2,8,0.9852108359336853,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
3,1,0.0,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
3,2,0.0,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
3,3,0.0,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
3,4,0.0,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
3,5,0.0,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
3,6,0.0,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
3,7,0.0,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
3,8,0.0,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
4,1,5.991941928863525,2026-08-15T05:45:41.140345+00:00,8c7e18eba1488dd5a7d4bdb00d4da0a75e895717,fcce746b-3025-45c4-9d12-80338f9ae966
